No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Royal, Eddie",WR,wide,RES,70,190,21-May-86,9,Virginia Tech,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Rubin, Ahtyba",DT,def,ACT,74,310,25-Jul-86,9,Iowa State,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Rucker, Frostee",DE,def,ACT,75,280,14-Sep-83,11,USC,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Rucker, Frostee",DE,def,ACT,75,280,14-Sep-83,11,USC,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Rudock, Jake",QB,other,ACT,75,207,21-Jan-93,0,Michigan,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Rudolph, Kyle",TE,tight,ACT,78,265,09-Nov-89,6,Notre Dame,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Rush, Marcus",LB,lineb,ACT,74,251,19-Jun-91,1,Michigan State,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Russell, KeiVarae",CB,dback,ACT,71,192,19-Oct-93,0,Notre Dame,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Russell, Ryan",DE,def,ACT,77,275,17-Jan-92,2,Purdue,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Ryan, Jake",ILB,lineb,ACT,74,240,27-Feb-92,2,Michigan,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Ryan, Jon",P,other,ACT,72,217,26-Nov-81,11,Regina (Canada),Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Ryan, Logan",CB,dback,ACT,71,195,09-Feb-91,4,Rutgers,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Ryan, Matt",QB,other,ACT,76,217,17-May-85,9,Boston College,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Saffold, Rodger",G,off,ACT,77,332,06-Jun-88,7,Indiana,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Sambrailo, Ty",OT,other,ACT,77,315,10-Mar-92,2,Colorado State,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Sample, James",SS,dback,RES,74,215,23-Jun-92,2,Louisville,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Sanborn, Garrison",LS,other,ACT,73,240,31-Jul-85,8,Florida State,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Sanchez, Mark",QB,other,ACT,74,225,11-Nov-86,8,USC,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Sanchez, Zack",CB,dback,RES,71,185,11-Oct-93,0,Oklahoma,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Sanders, Emmanuel",WR,wide,ACT,71,180,17-Mar-87,7,Southern Methodist,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Sanford, Jamarca",SS,dback,RES,70,200,27-Aug-85,8,Mississippi,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Santos, Cairo",K,kick,ACT,68,160,12-Nov-91,3,Tulane,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Sanu, Mohamed",WR,wide,ACT,74,210,22-Aug-89,5,Rutgers,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Savage, Tom",QB,other,ACT,76,230,26-Apr-90,3,Pittsburgh,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Scales, Patrick",LS,other,ACT,76,242,11-Feb-88,2,Utah State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Scandrick, Orlando",CB,dback,ACT,70,196,10-Feb-87,9,Boise State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Scarlett, Brennan",LB,lineb,ACT,75,260,31-Jul-93,0,Stanford,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Schaub, Matt",QB,other,ACT,78,245,25-Jun-81,13,Virginia,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Scherff, Brandon",OG,other,ACT,77,323,26-Dec-91,2,Iowa,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Schmidt, Colton",P,other,ACT,71,224,27-Oct-90,3,California-Davis,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Schobert, Joe",OLB,lineb,ACT,73,245,06-Nov-93,0,Wisconsin,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Schofield, Michael",OG,other,ACT,78,301,15-Nov-90,3,Michigan,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Schraeder, Ryan",T,off,ACT,79,300,04-May-88,4,Valdosta State,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Schum, Jacob",P,other,ACT,70,211,21-Jan-89,2,Buffalo,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Schwartz, Mitchell",OT,other,ACT,77,320,08-Jun-89,5,California,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Schweitzer, Wes",OG,other,ACT,76,300,11-Sep-93,0,San Jose State,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Schwenke, Brian",OG,other,ACT,75,318,22-Mar-91,4,California,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Scott, Chris",G,off,ACT,76,340,04-Aug-87,5,Tennessee,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Scott, Rashawn",WR,wide,ACT,74,204,29-Jan-92,0,Miami (Fla.),Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Scruggs, Greg",TE,tight,RES,75,277,17-Aug-90,4,Louisville,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Searcy, Da'Norris",SS,dback,ACT,71,207,16-Nov-88,6,North Carolina,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Seferian-Jenkins, Austin",TE,tight,ACT,77,262,29-Sep-92,3,Washington,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Seisay, Mohammed",DB,dback,RES,74,206,22-May-90,3,Nebraska,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Sendejo, Andrew",SS,dback,RES,73,210,09-Sep-87,6,Rice,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Sensabaugh, Coty",CB,dback,ACT,71,187,15-Nov-88,5,Clemson,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Severin, Canaan",WR,wide,RES,74,205,16-Mar-93,0,Virginia,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Seymour, Kevon",CB,dback,ACT,72,185,30-Nov-93,0,USC,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Shabazz, Al-Hajj",DB,dback,ACT,72,200,02-Aug-92,1,West Chester,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Sharpe, Tajae",WR,wide,ACT,74,194,23-Dec-94,0,Massachusetts,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Shatley, Tyler",OG,other,ACT,75,306,05-May-91,2,Clemson,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Shaw, Connor",QB,other,RES,73,210,19-Sep-91,2,South Carolina,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Shaw, Josh",CB,dback,ACT,73,200,27-Mar-92,2,USC,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Shazier, Ryan",ILB,lineb,ACT,73,230,06-Sep-92,3,Ohio State,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Shead, DeShawn",CB,dback,ACT,74,212,28-Jun-89,5,Portland State,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Sheard, Jabaal",DE,def,ACT,75,265,10-May-89,6,Pittsburgh,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Shelby, Derrick",DE,def,RES,74,280,04-Mar-89,5,Utah,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Shell, Brandon",OT,other,ACT,77,324,06-Feb-92,0,South Carolina,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Shelton, Danny",NT,def,ACT,74,335,20-Aug-93,2,Washington,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Shepard, Russell",WR,wide,ACT,73,195,17-Sep-90,4,LSU,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Shepard, Sterling",WR,wide,ACT,70,194,10-Feb-93,0,Oklahoma,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Shepherd, JaCorey",CB,dback,ACT,71,199,29-Mar-93,2,Kansas,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Sheppard, Kelvin",MLB,lineb,ACT,74,249,02-Jan-88,6,LSU,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Sherels, Marcus",CB,dback,ACT,70,175,30-Sep-87,6,Minnesota,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Sherman, Anthony",FB,run,ACT,70,242,11-Dec-88,6,Connecticut,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Sherman, Richard",CB,dback,ACT,75,195,30-Mar-88,6,Stanford,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Shields, Ronnie",TE,tight,RES,76,245,15-Dec-91,1,Kentucky,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Shields, Sam",CB,dback,RES,71,184,08-Dec-87,7,Miami (Fla.),Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Shipley, A.Q.",C,off,ACT,73,307,22-May-86,5,Penn State,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Shipley, A.Q.",C,off,ACT,73,307,22-May-86,5,Penn State,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Shirley, Josh",LB,lineb,ACT,73,235,04-Jan-92,2,Nevada-Las Vegas,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Short, Kawann",DT,def,ACT,75,315,02-Feb-89,4,Purdue,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Shorts, Cecil",WR,wide,RES,72,202,22-Dec-87,6,Mount Union,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Siemian, Trevor",QB,other,ACT,75,220,26-Dec-91,2,Northwestern,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Siliga, Sealver",DT,def,ACT,74,325,26-Apr-90,5,Utah,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Simmons, Justin",SS,dback,ACT,74,202,19-Nov-93,0,Boston College,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Simon, Deon",DT,def,ACT,75,332,06-Jul-90,1,Northwestern State-Louisiana,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Simon, John",OLB,lineb,ACT,73,260,14-Oct-90,4,Ohio State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Sims, Charles",RB,run,RES,72,211,19-Sep-90,3,West Virginia,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Sims, Dion",TE,tight,ACT,76,271,18-Feb-91,4,Michigan State,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Sims, Eugene",DE,def,ACT,78,269,18-Mar-86,7,West Texas A&M,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Sims, LeShaun",CB,dback,ACT,72,203,18-Sep-93,0,Southern Utah,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Sims, Pat",DT,def,ACT,74,330,29-Nov-85,9,Auburn,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Sirles, Jeremiah",OT,other,ACT,78,315,08-Aug-91,3,Nebraska,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Sitton, Josh",OG,other,ACT,75,318,16-Jun-86,9,Central Florida,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Skinner, Deontae",LB,lineb,ACT,74,250,18-Dec-90,2,Mississippi State,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Skov, Shayne",ILB,lineb,RES,75,247,09-Jul-90,2,Stanford,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Skrine, Buster",CB,dback,ACT,69,185,26-Apr-89,6,Tennessee-Chattanooga,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Skuta, Dan",OLB,lineb,ACT,74,252,21-Apr-86,8,Grand Valley State,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Slater, Matthew",WR,wide,ACT,72,205,09-Sep-85,9,UCLA,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Slauson, Matt",C,off,ACT,77,315,18-Feb-86,8,Nebraska,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Slavin, Tyler",WR,wide,RES,73,201,29-Jan-92,0,New Mexico Highlands,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Slay, Darius",CB,dback,ACT,72,190,01-Jan-91,4,Mississippi State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Smelter, DeAndre",WR,wide,ACT,74,227,03-Dec-91,1,Georgia Tech,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Smith, Aldon",OLB,lineb,SUS,76,265,25-Sep-89,6,Missouri,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Smith, Alex",QB,other,ACT,76,217,07-May-84,12,Utah,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Smith, Andre",OT,other,RES,76,325,25-Jan-87,8,Alabama,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Smith, Antone",RB,run,RES,69,192,17-Sep-85,7,Florida State,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Smith, Antonio",DE,def,ACT,75,290,21-Oct-81,13,Oklahoma State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Smith, Chris",DE,def,ACT,73,262,11-Feb-92,3,Arkansas,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Smith, Daryl",OLB,lineb,ACT,74,250,14-Mar-82,13,Georgia Tech,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Smith, Derron",FS,dback,ACT,70,200,04-Feb-92,2,Fresno State,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Smith, Devin",WR,wide,ACT,73,199,03-Mar-92,2,Ohio State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Smith, D'Joun",CB,dback,ACT,71,193,23-Sep-92,2,Florida Atlantic,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Smith, Donovan",OT,other,ACT,78,338,23-Jun-93,2,Penn State,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Smith, Evan",OG,other,ACT,74,308,19-Jul-86,7,Idaho State,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Smith, Garrison",DT,def,RES,73,310,09-Oct-91,3,Georgia,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Smith, Geno",QB,other,RES,75,221,10-Oct-90,4,West Virginia,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Smith, Harrison",FS,dback,ACT,74,214,02-Feb-89,5,Notre Dame,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Smith, Jacquies",DE,def,RES,74,260,18-Mar-90,3,Missouri,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Smith, Jimmy",CB,dback,RES,74,210,26-Jul-88,6,Colorado,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Smith, Keith",FB,run,ACT,72,232,08-Apr-92,3,San Jose State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Smith, Lee",TE,tight,RES,78,265,21-Nov-87,6,Marshall,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Smith, Malcolm",OLB,lineb,ACT,72,225,05-Jul-89,6,USC,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Smith, Preston",OLB,lineb,ACT,77,268,17-Nov-92,2,Mississippi State,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Smith, Ryan",CB,dback,ACT,71,189,07-Sep-93,0,North Carolina Central,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Smith, Sean",CB,dback,ACT,75,220,14-Jul-87,8,Utah,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Smith, Steve",WR,wide,ACT,69,195,12-May-79,16,Utah,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Smith, Telvin",OLB,lineb,ACT,75,218,11-Apr-91,3,Florida State,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Smith, Terrance",ILB,lineb,ACT,74,235,03-May-93,0,Florida State,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Smith, Torrey",WR,wide,RES,72,205,26-Jan-89,6,Maryland,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Smith, Tyron",T,off,ACT,77,320,12-Dec-90,6,USC,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Smith, Za'Darius",OLB,lineb,ACT,76,275,08-Sep-92,2,Kentucky,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Snead, Willie",WR,wide,ACT,71,195,17-Oct-92,2,Ball State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Sokoli, Kristjan",DT,def,ACT,77,300,24-Sep-91,2,Buffalo,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Solder, Nate",T,off,ACT,80,325,12-Apr-88,6,Colorado,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Soliai, Paul",DE,def,ACT,76,345,30-Dec-83,10,Utah,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Sommers, Joe",TE,tight,RES,75,240,03-Mar-93,0,Wis.-Oshkosh,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Sorensen, Daniel",DB,dback,ACT,74,208,05-Mar-90,3,Brigham Young,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Sowell, Bradley",OT,other,ACT,79,309,06-Jun-89,5,Mississippi,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Spadola, Ryan",WR,wide,RES,73,205,15-Feb-91,2,Lehigh,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Spaight, Martrell",OLB,lineb,ACT,72,238,05-Aug-93,2,Arkansas,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Spain, Quinton",OG,other,ACT,76,330,07-Aug-91,2,West Virginia,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Spence, Akeem",DT,def,ACT,73,307,29-Nov-91,4,Illinois,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Spence, Noah",DE,def,ACT,74,251,08-Jan-94,0,Eastern Kentucky,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Spence, Sean",ILB,lineb,ACT,71,231,07-Jun-90,5,Miami (Fla.),Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Spikes, Brandon",LB,lineb,ACT,74,255,03-Sep-87,6,Florida,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Spriggs, Jason",OG,other,ACT,78,301,17-May-94,0,Indiana,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Spruce, Nelson",WR,wide,RES,73,205,05-Dec-92,0,Colorado,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Square, Damion",NT,def,ACT,74,293,06-Feb-89,4,Alabama,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Stafford, Daimion",SS,dback,ACT,73,218,18-Feb-91,4,Nebraska,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Stafford, Matthew",QB,other,ACT,75,226,07-Feb-88,8,Georgia,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Staley, Joe",T,off,ACT,77,315,30-Aug-84,10,Central Michigan,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Stanford, Julian",ILB,lineb,RES,73,230,02-Sep-90,3,Wagner,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Stanley, Ronnie",OT,other,ACT,78,320,18-Mar-94,0,Notre Dame,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Stanton, Drew",QB,other,ACT,75,243,07-May-84,10,Michigan State,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Stanton, Drew",QB,other,ACT,75,243,07-May-84,10,Michigan State,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Staples, Justin",LB,lineb,ACT,76,245,10-Dec-89,3,Illinois,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Starks, James",RB,run,ACT,74,218,25-Feb-86,7,Buffalo,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Starr, Tyler",LB,lineb,RES,77,250,25-Jan-91,3,South Dakota,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Steen, Anthony",C,off,ACT,75,313,09-May-90,1,Alabama,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Stephen, Shamar",DT,def,ACT,77,310,25-Feb-91,3,Connecticut,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Stephenson, Donald",OT,other,ACT,78,312,30-Sep-88,5,Oklahoma,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Sterling, Neal",TE,tight,ACT,76,254,14-Jan-92,2,Monmouth (N.J.),Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Stewart, Darian",FS,dback,ACT,71,214,04-Aug-88,7,South Carolina,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Stewart, Jonathan",RB,run,ACT,70,240,21-Mar-87,9,Oregon,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Still, Devon",DT,def,RES,77,305,11-Jul-89,4,Penn State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Stills, Kenny",WR,wide,ACT,72,195,22-Apr-92,4,Oklahoma,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Stinson, Ed",DE,def,ACT,76,287,15-Feb-90,3,Alabama,Cardinals,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Stinson, Ed",DE,def,ACT,76,287,15-Feb-90,3,Alabama,Eagles,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Stocker, Luke",TE,tight,ACT,77,253,17-Jul-88,6,Tennessee,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Streater, Rod",WR,wide,ACT,74,195,09-Feb-88,5,Temple,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
