No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Barkley, Matt",QB,other,ACT,74,227,08-Sep-90,4,USC,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Barksdale, Joe",T,off,ACT,77,326,04-Jan-88,6,LSU,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Barnes, Adairius",CB,dback,ACT,70,188,30-Apr-94,0,Louisiana Tech,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Barnes, T.J.",DT,def,ACT,79,364,14-Jun-90,3,Georgia Tech,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Barnes, Tavaris",DE,def,RES,76,284,02-Nov-91,2,Clemson,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Barnes, Tim",C,off,ACT,76,306,14-May-88,5,Missouri,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Barnidge, Gary",TE,tight,ACT,78,250,22-Sep-85,9,Louisville,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Barr, Anthony",OLB,lineb,ACT,77,255,18-Mar-92,3,UCLA,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Barrett, Shaquil",OLB,lineb,ACT,74,250,17-Nov-92,3,Colorado State,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Barrington, Sam",LB,lineb,ACT,73,240,05-Oct-90,4,South Florida,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Barron, Mark",OLB,lineb,ACT,74,213,27-Oct-89,5,Alabama,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Barth, Connor",K,kick,ACT,71,200,11-Apr-86,9,North Carolina,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Bass, David",OLB,lineb,ACT,76,256,11-Sep-90,4,Missouri Western State,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Bates, Daren",LB,lineb,ACT,71,225,27-Nov-90,4,Auburn,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Bates, Houston",LB,lineb,RES,75,252,20-Dec-90,2,Louisiana Tech,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Beachum, Kelvin",T,off,ACT,75,316,08-Jun-89,5,Southern Methodist,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Beadles, Zane",G,off,ACT,76,305,19-Nov-86,7,Utah,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Beasley, Cole",WR,wide,ACT,68,180,26-Apr-89,5,Southern Methodist,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Beasley, Vic",OLB,lineb,ACT,75,246,08-Jul-92,2,Clemson,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Beatty, Will",OT,other,ACT,78,319,02-Mar-85,8,Connecticut,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Beavers, Willie",OG,other,ACT,77,322,02-Oct-93,0,Western Michigan,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Beckham, Odell",WR,wide,ACT,71,198,05-Nov-92,3,LSU,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Becton, Nick",OT,other,RES,78,322,11-Feb-90,3,Virginia Tech,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Bell, Blake",TE,tight,RES,78,252,07-Aug-91,2,Oklahoma,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Bell, Byron",OT,other,RES,77,340,17-Jan-89,6,New Mexico,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Bell, Joique",RB,run,ACT,71,231,04-Aug-86,6,Wayne State (Mich.),Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Bell, Le'Veon",RB,run,ACT,73,225,18-Feb-92,4,Michigan State,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Bell, Vonn",SS,dback,ACT,71,205,12-Dec-94,0,Ohio State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Bellamy, Josh",WR,wide,ACT,72,211,18-May-89,2,Louisville,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Bellore, Nick",ILB,lineb,RES,73,250,12-May-89,6,Central Michigan,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Benenoch, Caleb",OG,other,ACT,77,305,02-Aug-94,0,UCLA,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
